科目,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月,合計
【売上高】,,,,,,,,,,,,
　製品売上,0,0,0,0,0,0,0,0,0,0,0,0,0
　その他売上,0,0,0,0,0,0,0,0,0,0,0,0,0
売上高 合計,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
【売上原価】,,,,,,,,,,,,
　材料費,0,0,0,0,0,0,0,0,0,0,0,0,0
　労務費,0,0,0,0,0,0,0,0,0,0,0,0,0
　製造経費,0,0,0,0,0,0,0,0,0,0,0,0,0
売上原価 合計,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
売上総利益,0,0,0,0,0,0,0,0,0,0,0,0,0
売上総利益率(%),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
【販売費及び一般管理費】,,,,,,,,,,,,
　人件費,0,0,0,0,0,0,0,0,0,0,0,0,0
　地代家賃,0,0,0,0,0,0,0,0,0,0,0,0,0
　減価償却費,0,0,0,0,0,0,0,0,0,0,0,0,0
　光熱費,0,0,0,0,0,0,0,0,0,0,0,0,0
　通信費,0,0,0,0,0,0,0,0,0,0,0,0,0
　その他販管費,0,0,0,0,0,0,0,0,0,0,0,0,0
販管費 合計,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
営業利益,0,0,0,0,0,0,0,0,0,0,0,0,0
営業利益率(%),0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
【営業外収益】,,,,,,,,,,,,
　受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
　その他営業外収益,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
【営業外費用】,,,,,,,,,,,,
　支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0
　その他営業外費用,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
経常利益,0,0,0,0,0,0,0,0,0,0,0,0,0
経常利益率(%),0,0,0,0,0,0,0,0,0,0,0,0,0
